species,mean_soil_moisture_at_death
ACHHYM,0.015426348
ACHMIL,0.041579721
AGOGRA,0.004685746
AGRCRI,0.004973553
ARIPUR,0.008531657
ARTTRI,0.030667971
ASCTUB,0.020383871
ATRCAN,0.024185357
BAIMUL,0.018037313
BALSAG,0.006585102
BOUCUR,0.01538902
BOUERI,0.014944921
BOUGRA,0.020582193
BROTEC,0.02261808
CHADOU,0.023140099
CLELUT,0.011360593
CLESER,0.027494376
CREACU,0.011100932
CREINT,0.016147636
DALCAN,0.027597413
DALORN,0.023174543
DALSEA,0.023419885
ELYELY,0.005021238
ELYTRA,0.007960055
ERIPUM,0.018938917
ERISPE,0.023932805
ERIUMB,0.015769877
HEDBOR,0.006696811
HELMUL,0.014961267
HESCOM,0.012467741
KRALAN,0.037762592
LEYCIN,0.006261333
LEYTRI,0.016021606
LINLEW,0.01401164
LOMDIS,0.024057853
LOMMAC,0.017956359
LUPARG,0.01043656
MACCAN,0.015943507
PASSMI,0.010867903
PENPAL,0.013902524
PHAHAS,0.005449201
PLEJAM,0.026051757
POASEC,0.018735342
PSESPI,0.013868275
SENCOV,0.011246924
SPHGRO,0.022245618
SPHMUN,0.023846328
SPOAIR,0.018386095
SPOCRY,0.006646538
