"","species","LT50"
"1","ACHHYM",-5.2484163959687
"2","ACHMIL",-6.14441190812268
"3","AGOGRA",-7.80303811694748
"4","AGRCRI",-9.22949462035607
"5","ARIPUR",-6.03266781863215
"6","ARTTRI",-5.34277777490632
"7","ASCTUB",-5.26134521864883
"8","ATRCAN",-5.94643236576696
"9","BAIMUL",-5.89567906594754
"10","BALSAG",-5.94614064121147
"11","BOUCUR",-5.99661369405102
"12","BOUERI",-5.04456129808456
"13","BOUGRA",-4.78614349754336
"14","BROTEC",-7.79565340941617
"15","CLELUT",-7.55714126684768
"16","CLESER",-7.00328358786731
"17","CREACU",-6.8073640172924
"18","CREINT",-6.80816408904048
"19","DALCAN",-6.0669344347373
"20","DALORN",-5.96732508438701
"21","DALSEA",-5.85957222984646
"22","ELYELY",-6.20890002814285
"23","ELYTRA",-6.99200073035627
"24","ERIPUM",-6.10527389935893
"25","ERISPE",-5.77084447500003
"26","ERIUMB",-5.59838392618143
"27","HEDBOR",-7.85190476191303
"28","HELMUL",-6.10498764648148
"29","HESCOM",-8.11430923636968
"30","KRALAN",-6.06677429114228
"31","LEYCIN",-6
"32","LEYTRI",-6
"33","LINLEW",-6.72276852268608
"34","LOMDIS",-5.89824285932702
"35","LOMMAC",-5.64736156256325
"36","LUPARG",-6.32236574813162
"37","MACCAN",-5.98235710684432
"38","PASSMI",-6.80816408904049
"39","PENPAL",-6.99682097804869
"40","PHAHAS",-7.98214941381775
"41","PLEJAM",-4.99891180739466
"42","POASEC",-7.80342132993271
"43","PSESPI",-6.20890002814285
"44","SENCOV",-4.19065109273207
"45","SPHGRO",-6.20846714566408
"46","SPHMUN",-6.03268639830513
"47","SPOAIR",-4.99947579697037
