"","species","phylo_pcoa1","phylo_pcoa2"
"1","ACHMIL",-0.167473436077206,-0.182064492907993
"2","ACHHYM",0.176458224006608,-0.0461975335774857
"3","AGOGRA",-0.162021277706674,-0.167655000723439
"4","AGRCRI",0.189057040125223,-0.0549279913019116
"5","ARIPUR",0.165755142095138,-0.0381632609476679
"6","ARTTRI",-0.167473435981063,-0.182064492664518
"7","ASCTUB",-0.0765557941450586,0.0657326893244565
"8","ATRCAN",-0.0601124392327519,0.121838697738056
"9","BAIMUL",-0.166131714896878,-0.17852411119293
"10","BALSAG",-0.165624944526924,-0.177243764661782
"11","BOUCUR",0.173533448890179,-0.0426642522648486
"12","BOUERI",0.173533448790795,-0.0426642522081098
"13","BOUGRA",0.172809251070688,-0.0422485123668746
"14","BROTEC",0.185744643208138,-0.0526700447402213
"15","CHADOU",-0.166131714896878,-0.178524111192931
"16","CLELUT",-0.058231062937399,0.176793601692367
"17","CLESER",-0.058231062937399,0.176793601692367
"18","CREACU",-0.16318267955966,-0.170505620969368
"19","CREINT",-0.163182679466058,-0.170505620741797
"20","DALCAN",-0.0667593983387218,0.278609090538564
"21","DALORN",-0.0667593983387218,0.278609090538564
"22","DALSEA",-0.0667593983387218,0.278609090538564
"23","ELYELY",0.189888478744187,-0.0554936368991547
"24","ELYTRA",0.189888478744187,-0.0554936368991547
"25","ERIPUM",-0.169392661277304,-0.187096036969454
"26","ERISPE",-0.169392661277304,-0.187096036969454
"27","ERIUMB",-0.0571789790962179,0.106749384500682
"28","HEDBOR",-0.06266733679027,0.23692582249681
"29","HELMUL",-0.145035372206714,-0.123799164899101
"30","HESCOM",0.176458224006608,-0.0461975335774856
"31","KRALAN",-0.060112439267688,0.121838697905762
"32","LEYCIN",0.189218611682408,-0.0550374210967998
"33","LEYTRI",0.189218611682408,-0.0550374210967998
"34","LINLEW",-0.0528738438794514,0.136617199937652
"35","LOMDIS",-0.0967221975157251,0.0240458907228369
"36","LOMMAC",-0.0967221975157251,0.0240458907228369
"37","LUPARG",-0.0625838037295891,0.236074411873737
"38","MACCAN",-0.169063593481161,-0.186250291742651
"39","PASSMI",0.189407738665544,-0.055166835955461
"40","PENPAL",-0.0766252743413275,0.0658819032541098
"41","PHAHAS",-0.0766252743413275,0.0658819032541097
"42","PLEJAM",0.17211346840305,-0.0418480128820912
"43","POASEC",0.178767919746343,-0.0478827651064986
"44","PSESPI",0.189779855685311,-0.0554198704931252
"45","SENCOV",-0.0604188385457278,0.214243550482464
"46","SPHGRO",-0.058206738024521,0.176590867762884
"47","SPHMUN",-0.058206738024521,0.176590867762884
"48","SPOAIR",0.172412900573937,-0.0420152628452975
"49","SPOCRY",0.172412900573937,-0.0420152628452975
